filepath,open_access,publisher,body_format,line_count,doi,pmcid,document_type,ambiguity_flag
/Users/aretesofia/IbogaineVault/1957/Schneider1957_Neuropharmacological_Studies_Ibogaine.md,unknown,,vault-analytical,110,,,preclinical,
/Users/aretesofia/IbogaineVault/1969/Naranjo1969_Psychotherapeutic_Possibilities_Fantasy-Enhancing_Drugs.md,unknown,,narrative,257,,,case-series,narrative-review
/Users/aretesofia/IbogaineVault/1971/Dhahir1971_Ibogaine_Serotonin_Toxicity.md,true,,hybrid,196,,,thesis,
/Users/aretesofia/IbogaineVault/1991/Glick1991_Ibogaine_Morphine_Self_Administration.md,false,Elsevier,hybrid,92,10.1016/0014-2999(91)90474-5,,preclinical,
/Users/aretesofia/IbogaineVault/1991/Maisonneuve1991_Ibogaine_Morphine_Microdialysis.md,false,Elsevier,hybrid,109,10.1016/0014-2999(91)90634-3,,preclinical,
/Users/aretesofia/IbogaineVault/1992/Deecher1992_Radioligand_Binding_Mechanisms.md,false,Elsevier,vault-analytical,95,10.1016/0006-8993(92)90661-R,,in-vitro,
/Users/aretesofia/IbogaineVault/1992/Frances1992_Ibogaine_Morphine_Withdrawal_Mice.md,unknown,,vault-analytical,93,,,preclinical,
/Users/aretesofia/IbogaineVault/1992/Glick1992_Ibogaine_Morphine_Withdrawal_Rats.md,unknown,,hybrid,123,,,preclinical,
/Users/aretesofia/IbogaineVault/1992/Sershen1992_Ibogaine_Cocaine_Locomotor.md,false,Elsevier,vault-analytical,73,10.1016/0024-3205(92)90344-O,,preclinical,
/Users/aretesofia/IbogaineVault/1993/Cappendijk1993_Ibogaine_Cocaine_Self_Administration.md,false,Elsevier,hybrid,69,10.1016/0014-2999(93)90212-Z,,preclinical,
/Users/aretesofia/IbogaineVault/1993/OHearn1993_Purkinje_Cell_Degeneration.md,false,Elsevier,vault-analytical,104,10.1016/0306-4522(93)90500-f,,brief-communication,
/Users/aretesofia/IbogaineVault/1994/Glick1994_Iboga_Alkaloids_Self_Administration.md,false,Elsevier,vault-analytical,68,10.1016/0006-8993(94)90948-2,,preclinical,
