title,authors,year,doi,primary_category,secondary_categories,evidence_level,tags,clinical_significance,key_findings,sample_size,mortality_count,qtc_data,herg_data,electrolyte_data,contraindications,dosing_range,route,source_pdf,journal,aliases,source_url,pmid,pmcid,open_access,publisher,body_format,issn,filepath
"Neuropharmacological Studies on Ibogaine, an Indole Alkaloid with Central-Stimulant Properties","Schneider, J. A.; Sigg, E. B.",1957,,ORANGE,,preclinical,topic/mechanism; topic/motor; method/preclinical,high,Ibogaine produces EEG arousal via ascending reticular formation; effect blocked by atropine implicating cholinergic mechanism; paradoxical anticonvulsant properties despite central stimulation,,,false,false,false,,,,1957/Schneider1957_.pdf,Annals of the New York Academy of Sciences,Schneider 1957; Schneider Sigg Ibogaine Neuropharmacology; CIBA Ibogaine Reticular Formation,,,,unknown,,vault-analytical,,1957/Schneider1957_Neuropharmacological_Studies_Ibogaine.md
Psychotherapeutic Possibilities of New Fantasy-Enhancing Drugs,"Naranjo, Claudio",1969,,PURPLE,WHITE; ORANGE,case-series,topic/phenomenology; topic/analogues; topic/psychiatric; method/case-series,high,FOUNDATIONAL: First systematic phenomenological description of ibogaine/harmaline as 'oneirophrenics' - dream-like fantasy enhancement without psychosis. Coined term for ibogaine's unique mental state distinct from psychotomimetics.,,,false,false,false,,,,1969/Naranjo1969_Psychotherapeutic_Possibilities_Fantasy-Enhancing_Drugs.pdf,Clinical Toxicology,Naranjo 1969; Naranjo,,,,unknown,,narrative,,1969/Naranjo1969_Psychotherapeutic_Possibilities_Fantasy-Enhancing_Drugs.md
A Comparative Study on the Toxicity of Ibogaine and Serotonin,"Dhahir, Hashim Ismail",1971,,RED,ORANGE,preclinical,topic/toxicity; topic/cardiac; topic/pharmacokinetics; topic/adverse-event; topic/serotonin; topic/mechanism; topic/receptor; topic/alcohol; method/preclinical,high,"Ibogaine LD₅₀ 145 mg/kg rat i.p.; peaks liver/kidney 1h, cleared 12h; 15% excreted as indolic metabolite (not 5-HIAA); vagal-mediated hypotension/bradycardia (atropine-reversible); ethanol 2g/kg potentiates toxicity 1.4×",,,false,false,false,,"Acute LD₅₀: 145 mg/kg i.p. (rat), 175 mg/kg i.p. (mouse), 327 mg/kg i.g. (rat). Chronic: 10–50 mg/kg i.p. (30 days), 40 mg/kg i.p. (12 days). Cardiovascular: 2–32 mg/kg i.v.",intraperitoneal,1971/Dhahir1971_Ibogaine_Serotonin_Toxicity.pdf,,Dhahir 1971; Ibogaine Serotonin Toxicity Comparison; Ibogaine PhD Dissertation,,,,true,,hybrid,,1971/Dhahir1971_Ibogaine_Serotonin_Toxicity.md
Ibogaine and the inhibition of morphine self-administration: aftereffects of ibogaine on morphine self-administration in rats,"Glick, Stanley D.; Rossman, Kenner; Steindorf, Samara; Maisonneuve, Isabelle M.; Carlson, John N.",1991,10.1016/0014-2999(91)90474-5,ORANGE,,preclinical,topic/opioid; topic/mechanism; topic/dopamine; method/preclinical,moderate,Ibogaine (10-80 mg/kg i.p.) dose-dependently reduced morphine self-administration in rats acutely and ≥1 day post-dose; some rats showed persistent decreases lasting weeks. Aftereffect not attributable to conditioned aversion or motor impairment.,,,false,false,false,,,,1991/Glick1991_Ibogaine_Morphine_Self_Administration.pdf,European Journal of Pharmacology,Glick 1991; Ibogaine morphine self-administration rats,,1868880,,false,Elsevier,hybrid,,1991/Glick1991_Ibogaine_Morphine_Self_Administration.md
"Interactions between ibogaine, a potential anti-addictive agent, and morphine: an in vivo microdialysis study","Maisonneuve, I. M.; Keller, R. W. Jr.; Glick, S. D.",1991,10.1016/0014-2999(91)90634-3,ORANGE,BLUE,preclinical,topic/dopamine; topic/opioid; topic/mechanism; method/preclinical,high,"First in vivo microdialysis of ibogaine–morphine DA interactions. Ibogaine decreased striatal DA, increased prefrontal DA, and blocked morphine-induced DA rise 19 h post-dose across three brain regions.",,,false,false,false,,"40 mg/kg (rat, i.p.)",intraperitoneal,1991/Maisonneuve1991_Ibogaine_Morphine_Microdialysis.pdf,European Journal of Pharmacology,Maisonneuve 1991; Ibogaine Morphine Microdialysis,,1893925,,false,Elsevier,hybrid,,1991/Maisonneuve1991_Ibogaine_Morphine_Microdialysis.md
Mechanisms of action of ibogaine and harmaline congeners based on radioligand binding studies,Darlene C. Deecher; Milton Teitler; David M. Soderlund; William G. Bornmann; Martin E. Kuehne; Stanley D. Glick,1992,10.1016/0006-8993(92)90661-R,ORANGE,,in-vitro,topic/receptor; topic/opioid; topic/analogues; mechanism/kappa-opioid; mechanism/ion-channel; method/in-vitro,moderate,Ibogaine binds κ-opioid receptors (Ki=2.08 μM) but not μ or δ via [³H]carfentanil; binding is reversible. Ibogaine and harmaline congeners interact with voltage-dependent sodium channels (μM range). No GABA interaction found.,,,false,false,false,,,not-applicable,1992/Deecher1992_Radioligand_Binding_Mechanisms.pdf,Brain Research,Deecher 1992; Radioligand Binding Ibogaine Harmaline,,1377086,,false,Elsevier,vault-analytical,,1992/Deecher1992_Radioligand_Binding_Mechanisms.md
Effects of ibogaine on naloxone-precipitated withdrawal in morphine-dependent mice,"Francés, Bernard; Gout, R.; Cros, J.; Zajac, Jean-Marie",1992,,ORANGE,,preclinical,topic/opioid; topic/withdrawal; topic/dopamine; method/preclinical,moderate,"Ibogaine (30 mg/kg IP) failed to attenuate morphine withdrawal in mice and significantly potentiated naloxone-precipitated jumping (~9-fold), suggesting amplification of opioid-mediated responses rather than anti-withdrawal activity.",,,false,false,false,,30 mg/kg IP (ibogaine in saline),intraperitoneal,1992/Frances1992_Ibogaine_Morphine_Withdrawal_Mice.pdf,Fundamental & Clinical Pharmacology,Francés 1992; Ibogaine morphine withdrawal mice potentiation,,,,unknown,,vault-analytical,,1992/Frances1992_Ibogaine_Morphine_Withdrawal_Mice.md
Effects of Ibogaine on Acute Signs of Morphine Withdrawal in Rats: Independence from Tremor,"Glick, Stanley D.; Rossman, Karen; Rao, N. C.; Maisonneuve, Isabelle M.; Carlson, J. Neil",1992,,ORANGE,,preclinical,topic/opioid; topic/withdrawal; topic/mechanism; method/preclinical,high,"Ibogaine (40-80 mg/kg IP) significantly reduced 4 of 7 morphine withdrawal signs in rats; effects persisted 4 hr post-dose when tremors had fully dissipated, confirming independence from motor confounds.",,,false,false,false,,"20, 40 and 80 mg/kg IP (ibogaine HCl in saline, 1–4 ml/kg)",intraperitoneal,1992/Glick1992_Ibogaine_Morphine_Withdrawal_Rats.pdf,Neuropharmacology,Glick 1992; Ibogaine morphine withdrawal tremor independence; Glick1992_Morphine_Withdrawal_Rats,,,,unknown,,hybrid,,1992/Glick1992_Ibogaine_Morphine_Withdrawal_Rats.md
Ibogaine Antagonizes Cocaine-Induced Locomotor Stimulation in Mice,"Sershen, Henry; Hashim, Audrey; Harsing, Laszlo; Lajtha, Abel",1992,10.1016/0024-3205(92)90344-O,ORANGE,,preclinical,topic/stimulant; topic/dopamine; mechanism/dopamine-modulation; method/preclinical,moderate,Ibogaine (40 mg/kg) reduces cocaine-induced locomotor stimulation in mice for ≥9 days. Selective for cocaine (not amphetamine). Transiently increases DA turnover (DOPAC+HVA/DA). Weak DAT affinity (IC₅₀ 1500 nM vs cocaine 120 nM).,,,false,false,false,,,,1992/Sershen1992_Ibogaine_Cocaine_Locomotor.pdf,Life Sciences,Sershen 1992; Ibogaine Cocaine Locomotor Mice,,1556903,,false,Elsevier,vault-analytical,,1992/Sershen1992_Ibogaine_Cocaine_Locomotor.md
Inhibitory effects of ibogaine on cocaine self-administration in rats,"Cappendijk, Susanne L.T.; Dzoljic, Michailo R.",1993,10.1016/0014-2999(93)90212-Z,BLUE,ORANGE,preclinical,topic/stimulant; topic/efficacy; method/preclinical,moderate,"Single ibogaine dose (40 mg/kg i.p.) reduced rat cocaine self-administration for >48h; weekly repeated dosing produced cumulative, more sustained inhibition suggesting long-lasting active metabolite(s)",,,false,false,false,,,,1993/Cappendijk1993_Ibogaine_Cocaine_Self_Administration.pdf,European Journal of Pharmacology,Cappendijk 1993; Ibogaine cocaine self-administration rats,,8243561,,false,Elsevier,hybrid,,1993/Cappendijk1993_Ibogaine_Cocaine_Self_Administration.md
Degeneration of Purkinje Cells in Parasagittal Zones of the Cerebellar Vermis after Treatment with Ibogaine or Harmaline,"O'Hearn, Elizabeth; Molliver, Mark E.",1993,10.1016/0306-4522(93)90500-f,ORANGE,,preclinical,topic/toxicity; topic/mechanism; topic/motor; method/preclinical,moderate,Ibogaine (100 mg/kg) and harmaline cause selective Purkinje cell degeneration in parasagittal zones of rat cerebellar vermis via proposed olivocerebellar excitotoxic mechanism. Doses 4× proposed human dose.,,,false,false,false,,,,1993/OHearn1993_Purkinje_Cell_Degeneration.pdf,Neuroscience,O'Hearn 1993; Purkinje Cell Degeneration Ibogaine; Cerebellar Neurotoxicity Ibogaine,,8377927,,false,Elsevier,vault-analytical,,1993/OHearn1993_Purkinje_Cell_Degeneration.md
Effects of iboga alkaloids on morphine and cocaine self-administration in rats: relationship to tremorigenic effects and to effects on dopamine release in nucleus accumbens and striatum,"Glick, Stanley D.; Kuehne, Martin E.; Raucci, Joseph; Wilson, Thomas E.; Larson, David; Keller, Robert W. Jr.; Carlson, J. Neil",1994,10.1016/0006-8993(94)90948-2,ORANGE,BLUE,preclinical,topic/analogues; mechanism/dopamine-modulation; method/preclinical; topic/toxicity; topic/efficacy,moderate,R-enantiomers of ibogamine/coronaridine reduced morphine & cocaine self-admin without tremor; R-isomers decreased DA in NAC/STR while S-isomers had no effect. Anti-addictive and tremorigenic effects dissociable.,,,false,false,false,,,,1994/Glick1994_Iboga_Alkaloids_Self_Administration.pdf,Brain Research,Glick 1994; Iboga Alkaloids Self-Administration,,7820611,,false,Elsevier,vault-analytical,,1994/Glick1994_Iboga_Alkaloids_Self_Administration.md
The putative anti-addictive drug ibogaine is a competitive inhibitor of [3H]MK-801 binding to the NMDA receptor complex,"Popik, Piotr; Layer, Richard T.; Skolnick, Phil",1994,,ORANGE,,in-vitro,topic/receptor; topic/mechanism; mechanism/nmda-antagonism; method/in-vitro,moderate,"Ibogaine competitively inhibits [³H]MK-801 binding at NMDA receptor ion channels (Kᵢ = 1.01 ± 0.1 μM, nH = 1.2). No effect on AMPA, kainate, or metabotropic glutamate receptors up to 100 μM.",,,false,false,false,,,,1994/Popik1994_Ibogaine_NMDA_MK801_Binding.pdf,Psychopharmacology,Popik 1994; Ibogaine NMDA MK-801 competitive binding,,,,unknown,,vault-analytical,,1994/Popik1994_Ibogaine_NMDA_MK801_Binding.md
Ibogaine Reduces Preference for Cocaine Consumption in C57BL/6By Mice,"Sershen, Henry; Hashim, Audrey; Lajtha, Abel",1994,10.1016/0091-3057(94)90105-8,ORANGE,,preclinical,topic/stimulant; topic/dopamine; mechanism/dopamine-modulation; method/preclinical,moderate,Ibogaine (2×40 mg/kg IP) reduced cocaine preference from 71% to 41% and intake by 38% for ≥5 days in C57BL/6By mice. Attenuated cocaine-induced locomotor sensitisation independently of brain cocaine levels.,,,false,false,false,,"2×40 mg/kg IP ibogaine HCl (6 h apart); cocaine 200–400 mg/l oral, 25 mg/kg SC challenge",intraperitoneal,1994/Sershen1994_Ibogaine_Cocaine_Preference_Mice.pdf,Pharmacology Biochemistry and Behavior,Sershen 1994; Ibogaine Cocaine Preference Mice,,8115413,,false,Elsevier,vault-analytical,,1994/Sershen1994_Ibogaine_Cocaine_Preference_Mice.md
